Ticker,Mentions
on,828
so,353
nvda,757
a,1339
all,334
day,92
now,157
are,525
ppl,8
it,728
cat,10
intc,20
has,138
amd,52
hes,2
v,25
cost,29
tsla,47
aapl,25
ba,12
ball,5
bby,1
tech,22
amzn,5
well,54
wbd,2
msft,15
wmt,1
uber,2
blk,2
low,25
dd,6
pm,48
adbe,5
mcd,1
ko,1
cmg,1
pep,1
panw,6
nflx,3
goog,4
orcl,15
gm,1
pfe,4
c,2
o,2
dte,4
ed,4
ulta,1
ccl,1
googl,5
kmx,1
pypl,1
avgo,4
met,2
csco,3
ice,4
meta,10
d,2
dxcm,2
fast,6
mu,6
ntrs,5
dg,2
fcx,1
fslr,2
alb,1
hal,1
pnc,1
wba,1
key,2
f,4
bac,1
txn,1
mtch,1
es,3
mmm,1
mar,2
vrtx,1
ual,1
jbl,1
t,5
l,2
bwa,1
axp,1
qcom,1
para,1
k,2
abnb,1
psa,1
bro,39
sbux,1
fox,1
nke,1
wat,1
ge,1
doc,1
abt,1
dow,1
luv,1
ups,3
apd,2
pg,1
ew,1
kr,1
kim,1
coo,1
de,1
rtx,1
ibm,1
